ID,EXTERNAL_ID,STEPS,SUBMISSION_TIME,UPDATED_AT
7262056,7789,362,"2024-03-28T01:00:00.000+0100","2024-03-28T12:30:01.366+0100"
7284864,7789,235,"2024-03-31T01:00:00.000+0100","2024-03-31T20:00:01.387+0200"
7266996,7789,1630,"2024-03-28T01:00:00.000+0100","2024-03-29T00:00:01.496+0100"
7264279,7789,728,"2024-03-28T01:00:00.000+0100","2024-03-28T18:00:01.436+0100"
7260941,7789,11074,"2024-03-27T01:00:00.000+0100","2024-03-28T08:00:01.744+0100"
7263269,7789,2565,"2024-03-28T01:00:00.000+0100","2024-03-28T16:00:01.426+0100"
7278218,7789,113,"2024-03-30T01:00:00.000+0100","2024-03-30T20:00:01.787+0100"
7280883,7789,504,"2024-03-30T01:00:00.000+0100","2024-03-31T06:00:01.656+0200"
7276304,7789,3844,"2024-03-30T01:00:00.000+0100","2024-03-30T16:00:01.564+0100"
7294082,7789,216,"2024-04-01T02:00:00.000+0200","2024-04-02T06:00:01.675+0200"
7269886,7789,1171,"2024-03-29T01:00:00.000+0100","2024-03-29T16:00:01.573+0100"
7277256,7789,920,"2024-03-30T01:00:00.000+0100","2024-03-30T18:00:01.438+0100"
7271703,7789,1547,"2024-03-29T01:00:00.000+0100","2024-03-29T20:00:01.358+0100"
7272627,7789,1577,"2024-03-29T01:00:00.000+0100","2024-03-29T22:00:01.351+0100"
7273391,7789,468,"2024-03-29T01:00:00.000+0100","2024-03-30T00:00:01.700+0100"
7267890,7789,255,"2024-03-28T01:00:00.000+0100","2024-03-29T06:00:01.604+0100"
7266166,7789,692,"2024-03-28T01:00:00.000+0100","2024-03-28T22:00:01.381+0100"
7260940,7789,6964,"2024-03-26T01:00:00.000+0100","2024-03-28T08:00:01.717+0100"
7268037,7789,122,"2024-03-29T01:00:00.000+0100","2024-03-29T08:00:01.713+0100"
7281011,7789,1505,"2024-03-31T01:00:00.000+0100","2024-03-31T08:00:01.420+0200"
7287903,7789,90,"2024-04-01T02:00:00.000+0200","2024-04-01T08:00:01.374+0200"
7270815,7789,868,"2024-03-29T01:00:00.000+0100","2024-03-29T18:00:01.417+0100"
7291483,7789,2908,"2024-04-01T02:00:00.000+0200","2024-04-01T20:00:01.497+0200"
7287902,7789,655,"2024-03-31T01:00:00.000+0100","2024-04-01T08:00:01.355+0200"
7274444,7789,278,"2024-03-29T01:00:00.000+0100","2024-03-30T08:00:01.505+0100"
7288484,7789,2921,"2024-04-01T02:00:00.000+0200","2024-04-01T12:30:01.874+0200"
